fudo_id,categoria,nombre,descripcion,precio,costo,activo,favorito,controla_stock,stock
75,Bebidas,Quilmes lata 473cc,,450,,False,False,True,
10,Bebidas,Seven up,,2600,,True,False,True,
22,Bebidas,Seven up free,,2600,,True,False,True,
112,Cafe en grano,Cinta azul 1/4 kg,,7000,,True,False,False,
113,Cafe en grano,Express 1/4,,12000,,True,False,False,
111,Cafe en grano,Franja blanca 1/4 kg,,6000,,True,False,False,
114,Cafe en grano,Superior 1/4,,10500,,True,False,False,
67,Cafés especiales,Cafe Baileys,,1000,,True,False,False,
62,Cafés especiales,Cafe calipso,,1000,,True,False,False,
65,Cafés especiales,Cafe cubano,,1000,,True,False,False,
66,Cafés especiales,Cafe Ingles,,1000,,True,False,False,
64,Cafés especiales,Cafe irlandes,,1000,,True,False,False,
63,Cafés especiales,Cafe Mediterraneo,,1000,,True,False,False,
3,Cafetería,Cafe Chico,,2800,,True,True,False,
59,Cafetería,Cafe con crema Jarrito,,110,,False,False,False,
60,Cafetería,Cafe con crema pocillo,,100,,False,False,False,
16,Cafetería,Cafe con leche,,3500,,True,True,False,
42,Cafetería,Cafe doble,,3500,,True,False,False,
61,Cafetería,Cafe doble con crema,,130,,False,False,False,
4,Cafetería,Cafe Jarrito,,3000,,True,True,False,
11,Cafetería,Capuccino,,4700,,True,True,False,
52,Cafetería,Chocolatada,,3000,,True,False,False,
40,Cafetería,Cortado chico,,2800,,True,False,False,
41,Cafetería,Cortado doble,,3500,,True,False,False,
17,Cafetería,Cortado Jarrito,,3000,,True,False,False,
228,Cafetería,Factura membrillo,,900,,True,False,False,
57,Cafetería,Frappe,,3500,,True,False,False,
30,Cafetería,Lagrima chica,,2800,,True,False,False,
49,Cafetería,Lagrima doble,,3500,,True,False,False,
48,Cafetería,Lagrima jarrito,,3000,,True,False,False,
161,Cafetería,Librito / criollito,,300,,False,False,False,
165,Cafetería,Librito / Cuadradito grasa,,1200,,True,False,False,
13,Cafetería,Medialuna grasa,,1200,,True,False,True,
12,Cafetería,Medialuna manteca,,1200,,True,True,True,
226,Cafetería,Scon dulce,,1500,,True,False,False,
227,Cafetería,Scon queso salado,,900,500.0,True,False,False,
50,Cafetería,Submarino,,3200,,True,False,False,
51,Cafetería,Taza de leche,,3000,,True,False,False,
27,Cafetería,Te / mate cocido,,2800,,True,False,False,
28,Cafetería,Te / Mate cocido con leche,,3000,,True,False,False,
154,Cafetería,Tostada unidad,,1100,,True,False,False,
53,Cafetería,Yogurt,,1500,,True,False,False,
55,Capuchinos Saborizados,Capu Capuchino,,4700,,True,False,False,
54,Capuchinos Saborizados,Capu Caramelo,,4700,,True,False,False,
219,Capuchinos Saborizados,Capuchino avellana,,4700,,True,False,False,
56,Capuchinos Saborizados,Capuchino Vainilla Latte,,4700,,True,False,False,
21,Empanadas,Albondigas,,4500,,False,False,True,
146,Empanadas,Bife a la criolla,,260,,False,False,True,
203,Empanadas,canelones,,2000,,False,False,False,
230,Empanadas,Empanada caprese,,2000,,True,False,False,
124,Empanadas,Empanada carne,,2000,,True,False,True,
225,Empanadas,Empanada fatay,,2000,,True,False,False,
126,Empanadas,Empanada jamon y queso,,2000,,True,False,True,
125,Empanadas,Empanada pollo,,2000,,True,False,True,
127,Empanadas,Empanada Roquefort,,70,,False,False,True,
128,Empanadas,Empanada Verdura,,2000,,True,False,True,
88,Empanadas,Ensalada completa,,200,,False,False,False,
163,Empanadas,Lasagna,,3000,,False,False,True,-73.0
8,Empanadas,Milanesa Napolitana,,45,,False,False,False,
173,Empanadas,Milanesa pollo,,220,,False,False,False,
9,Empanadas,Papas Fritas,,45,,False,False,False,
170,Empanadas,Pastel de papa,,4500,,False,False,True,-104.0
158,Empanadas,Pechuga grille con vegetales,,600,,False,False,True,-5.0
2,Empanadas,Pizza Muzarella,,38,,False,False,False,
199,Empanadas,Pïzzeta (2 UN),,500,,False,False,False,
214,Empanadas,Plato + bebida + café,,1800,,False,False,False,
215,Empanadas,Plato solo,,1300,,False,False,False,
47,Empanadas,Pollo al verdeo,,600,,False,False,True,
186,Empanadas,Risoto de calabaza,,450,,False,False,True,4.0
197,Empanadas,Risotto con champiñon,,600,,False,False,False,
157,Empanadas,Risotto de brocoli,,280,,False,False,False,
216,Empanadas,Sandwich de milanesa,,6000,,True,False,False,
23,Jugos / Batidos,Exprimido de Naranja,,4500,,True,False,False,
45,Jugos / Batidos,Licuado anana,,120,,False,False,False,
43,Jugos / Batidos,Licuado banana,,120,,False,False,False,
46,Jugos / Batidos,Licuado durazno,,120,,False,False,False,
116,Jugos / Batidos,Licuado frutal,,4500,,True,False,False,
44,Jugos / Batidos,Licuado frutilla,,120,,False,False,False,
180,Jugos / Batidos,Licuado multifruta,,4500,,False,False,False,
148,Jugos / Batidos,Medio exprimido,,2300,,True,False,False,
222,Llevar,Termico $2.000 (XL),,2000,,False,False,False,
162,Llevar,Termico $240,,240,,False,False,False,
138,Llevar,Termico $2800 (chico),,2800,,True,False,False,
137,Llevar,Termico $3000 (mediano),,3000,,True,False,False,
139,Llevar,Termico $3500 (grande),,3500,,True,False,False,
140,Llevar,Termico $700 (polipapel),,700,,False,False,False,
179,Pasteleria,Alfajor chocolate,,1400,,False,False,False,
115,Pasteleria,Alfajor de maicena,,2600,,True,False,False,
221,Pasteleria,Alfajor nuevo,,1900,,False,False,False,
174,Pasteleria,Brownie,,4000,,True,False,False,
92,Pasteleria,Brownie con dulce de leche,,4000,,True,False,False,
26,Pasteleria,Budin de limon,,100,,False,False,False,
104,Pasteleria,Budin de manzana,,120,,False,False,False,
105,Pasteleria,Budin de Naranja,,100,,False,False,False,
153,Pasteleria,Budin entero zanahoria,,500,,False,False,False,
151,Pasteleria,Budin limon,,4000,,True,False,False,
106,Pasteleria,Budin marmolado,,4000,,True,False,False,
236,Pasteleria,Chipa,,500,,True,False,False,
206,Pasteleria,Chocoarroz,,2000,,True,False,False,
90,Pasteleria,Chocotorta,,130,,False,False,False,
160,Pasteleria,Cookie,,30,,False,False,False,
204,Pasteleria,Cuadrado de coco,,600,,False,False,False,
94,Pasteleria,Cuadrado de limon,,4000,,True,False,False,
93,Pasteleria,Cuadrado de manzana,,4000,,True,False,False,
107,Pasteleria,Cuadrado de zanahoria,,100,,False,False,False,
188,Pasteleria,Docena medialuna,,10000,,True,False,False,
89,Pasteleria,Donas,,1300,,True,False,True,
193,Pasteleria,Media docena medialunas,,5000,,True,False,False,
182,Pasteleria,Mini alfajor maicena,,50,,False,False,False,
129,Pasteleria,Muffin,,2000,,False,False,True,
147,Pasteleria,Pastafrola,,4000,,True,False,False,
109,Pasteleria,Pastafrola batata,,100,,False,False,False,
110,Pasteleria,Pastafrola dulce de leche,,100,,False,False,False,
108,Pasteleria,Pastafrola membrillo,,100,,False,False,False,
176,Pasteleria,Pastelitos,,60,,False,False,False,
201,Pasteleria,Pochoclo,,300,,False,False,False,
229,Pasteleria,Porcion budin,,4000,,True,False,False,
178,Pasteleria,Roll canela,,800,,False,False,False,
117,Pasteleria,Scones,,1500,,True,False,True,
91,Pasteleria,Tiramisu,,130,,False,False,False,
167,Pasteleria,Tiramisuu,,600,,False,False,False,
184,Pasteleria,Torta chocolate,,120,,False,False,False,
175,Pasteleria,Torta coco y dulce de leche,,120,,False,False,False,
166,Pasteleria,Torta de ricota,,4000,,True,False,False,
168,Postres,Chocotortaa,,4000,,True,False,False,
7,Postres,Ensalada de Frutas,,25,,False,True,False,
200,Postres,Torta porción,,4000,,True,False,False,
195,Promocion cafe,Cafe con leche + 2 medialuna de j y q,,6000,,True,False,False,
122,Promocion cafe,Cafe con leche + 2 Medialunas,,5000,,True,True,False,
142,Promocion cafe,Cafe con leche + Budin,,190,,False,False,False,
103,Promocion cafe,Cafe con leche + cuadrado,,6500,,True,False,False,
101,Promocion cafe,Cafe con leche y med. J / Q,,4800,,False,False,False,
217,Promocion cafe,Cafe con leche y torta,,8000,,False,False,False,
95,Promocion cafe,Cafe con leche y tostadas,,6000,,True,True,False,
31,Promocion cafe,Cafe con leche y tostado,,7600,,True,True,False,
121,Promocion cafe,Jarrito + 2 Medialunas,,4500,,True,True,False,
120,Promocion cafe,Pocillo + 2 Medialunas,,140,,False,False,False,
123,Promociones,3 Empanadas + bebida,,7000,,True,False,False,
99,Promociones,Capuccino y 2 medialunas,,6000,,True,False,False,
32,Promociones,Promo almuerzo,,360,,False,False,False,
80,Promociones,Promo panini,,300,,False,False,False,
100,Promociones,Submarino y 2 medialunas,,4700,,True,False,False,
196,Promociones,Tarta + bebida + cafe,,3000,,False,False,False,
29,Promociones,Tostado + Exprimido Naranja,,8000,,True,False,False,
118,Promociones,Tostado + Gaseosa,,250,,False,False,False,
119,Promociones,Tostado + Licuado,,8000,,True,False,False,
172,Promociones,Tostado y gaseosa,,6000,,True,False,False,
169,Sandwich,Arabe crudo,,3100,,False,False,False,
177,Sandwich,Baguette crudo,,260,,False,False,False,
79,Sandwich,Baguette Jamon y queso,,800,,False,False,False,
183,Sandwich,Ciabata,,160,,False,False,False,
212,Sandwich,Croissant,,4600,,True,False,False,
24,Sandwich,Medialuna de jamon y queso,,2000,,True,False,False,
132,Sandwich,Medio tostado,,2600,,True,False,False,
78,Sandwich,Panini Napolitano,,210,,False,False,False,
14,Sandwich,Panini Peceto,,220,,False,False,True,
77,Sandwich,Panini Pollo,,180,,False,False,True,
213,Sandwich,Pan parmesano,,600,,False,False,False,
131,Sandwich,Pebete,,4000,,True,False,True,
141,Sandwich,Pebete crudo,,180,,False,False,False,
218,Sandwich,Roll capresse,,4000,,False,False,False,
164,Sandwich,Roll peceto,,4000,,False,False,False,
159,Sandwich,Roll pollo,,4000,,False,False,False,
135,Sandwich,Sandwich milanesa,,4000,,False,False,False,
181,Sandwich,Sandwich pan casero / caserito,,140,,False,False,False,
233,Sandwich,Sandwich relleno,,9000,,True,False,False,
15,Sandwich,Tostadas pan blanco,,3000,,True,False,False,
98,Sandwich,Tostadas pan blancoo,,150,,False,False,False,
97,Sandwich,Tostadas pan negro,,3000,,True,False,False,
18,Sandwich,Tostado miga,,5000,,True,False,False,
19,Sandwich,Tostado pan arabe,,4600,,True,False,False,
130,Sandwich,Trenzado / brioche,,4600,,True,False,True,
207,Sin tacc,Chalitas,,600,,True,False,False,
211,Sin tacc,Galletitas sin tacc,,600,,True,False,False,
208,Sin tacc,Mini scones,,600,,False,False,False,
210,Sin tacc,Stick garbanzos,,600,,True,False,False,
209,Sin tacc,Sticks tomate,,600,,False,False,False,
189,Tartas,Tarta atun,,7500,2900.0,True,False,False,
25,Tartas,Tarta bicolor,,3200,,False,False,True,-37.0
192,Tartas,Tarta calabaza,,7500,2900.0,True,False,False,
232,Tartas,Tarta caprese,,6000,2900.0,False,False,False,
231,Tartas,Tarta carpese,,6000,2900.0,False,False,False,
194,Tartas,Tarta cebolla,,250,,False,False,False,
83,Tartas,Tarta jamon queso y puerro,,180,,False,False,False,
82,Tartas,Tarta jamon y queso,,7500,2900.0,True,False,True,-969.0
86,Tartas,Tarta pollo,,7500,2900.0,True,False,True,-543.0
87,Tartas,Tarta pollo verdeo,,180,,False,False,False,
84,Tartas,Tarta queso y cebolla,,180,,False,False,False,
198,Tartas,Tarta verdura,,7500,2900.0,True,False,False,
190,Tartas,Tarta zapallito,,7500,2900.0,True,False,False,
